STATION,MEHGSWB,TURB,DOCSWD,SRPRSWFB,THGFSFC,THGSDFC,TCSDFB,TPRSDFB
184,0.35,1.1,14,0.0065,110,220,49,410
185,0.23,1.2,13,0.0042,72.55825208,220,49,410
186,0.48,0.7,15,0.0065,64.67182117,140,49,320
187,0.15,0.9,14,0.0027,120,290,48,570
188,0.14,2.3,13,0.0065,77.87590058,220.2051235,46,410
189,0.49,0.8,16,0.0048,40.55362137,130,49,280
192,0.24,1.7,13,0.0065,220,270,47,500
193,0.28,0.5,13,0.0065,230,270.4417512,47,600
194,0.1,0.2,12,0.0065,170,230,48,440
195,0.19,0.8,16,0.0065,13.49922521,86.26335758,50,320
197,0.26,0.3,17,0.004,119.5067158,120,46,390
198,0.39,0.6,13,0.0019,170,140,35,390
199,0.31,0.7,13,0.0039,209.6205121,230,47,450
202,0.53,0.9,13,0.003,260,220,48,720
204,0.24,0.3,14,0.0065,320,140,48,640
205,0.28,0.7,18,0.0065,19.52365903,110,45,440
206,0.26,0.6,18,0.0065,67.38495176,100,9,110
207,0.18,1.4,12,0.0024,169.9486783,180,39,460
208,0.38,0.9,19,0.0033,69.15644826,150,47,310
210,0.12,1.7,22,0.0025,7.899666594,120.1291948,44,500
211,0.38,0.1,24,0.0031,139.8690138,150,44,500
212,0.16,0.8,13,0.0053,80.78482613,160,45,410
213,0.15,0.5,14,0.0065,200,120,41,310
214,0.14,1.4,14,0.0029,180,150,45,400
215,0.17,0.2,16,0.0065,97.49595347,100,38,520
217,0.11,0.4,16,0.0065,97.2771796,140,49,570
218,0.19,0.3,20,0.0065,130,94.18702632,36,680
220,0.062,0.3,24,0.0065,41.80882426,54.08568059,13,330
221,0.14,0.1,19,0.0065,88.35171342,96.3899652,46,620
222,0.26,0.6,16,0.0032,120,99.63776716,26,350
223,0.61,0.8,32,0.0038,120,169.726302,49,340
224,0.1,0.6,15,0.0033,95.51358693,190.4667587,48,550
225,0.39,0.8,29,0.0028,59.25749484,300,47,450
226,0.18,2.3,22,0.0065,35.99177335,28.26075871,14,560
227,0.9,1.1,36,0.0065,120,350,48,420
228,0.53,1.7,25,0.0022,150,140,44,450
229,0.23,1.3,19,0.0044,94.89415294,120,47,580
230,0.17,0.2,16,0.0049,65.60493778,130,43,560
231,0.98,2.2,28,0.0065,35.1591487,180,48,850
233,1.1,0.6,42,0.0029,110,230,44,360
234,0.18,0.6,45,0.0027,10.39259976,130,47,650
236,0.26,2.6,36,0.0039,4.8,110,46,960
237,0.65,0.8,16,0.0068,79.85893227,160.3466637,49,520
238,1.5,3.3,41,0.0032,140,240,45,580
239,0.2,7.5,16,0.0065,42.45347791,250,50,370
240,0.57,0.6,15,0.0029,97.20916447,150,50,590
242,0.13,2.5,19,0.0038,23.45595864,190,52,330
244,0.22,2.1,17,0.0042,88.28452462,140,50,400
245,0.39,4.8,19,0.003,84.35053656,239.8644478,50,260
249,0.51,3.7,19,0.0026,90.33334421,220,47,390
251,0.28,0.5,19,0.0065,260,210,37,340
252,0.3,2,15,0.0057,80.61388962,210,31,330
253,0.12,0.9,6.9,0.0049,100,76.53595896,19,310
254,0.22,1,16,0.0038,170,189.8819822,38,430
255,0.1,0.5,7.9,0.0065,82.20839587,17.21504167,16,120
256,0.19,0.5,20,0.005,41.4276657,180,41,540
258,0.085,2.8,9.8,0.065,80.2710515,100,19,360
367,2.8,1,23,0.004,85.98301885,230,47,540
368,0.35,1.4,20,0.0065,99.0207697,230,51,280
374,0.15,11.1,18,0.0065,49.56303211,180,47,520
488,0.2,8.7,33,0.0538,9.322999869,120,31,1400
489,0.74,12.2,24,0.0045,110,160,50,310
